type,date,value,unit,position
"Basal Metabolic Rate (BMR)","2026-04-24 07:57:46","1,374",
"Metabolic Age","2026-04-24 07:57:46",28,
FAT_PERCENT,"2026-04-24 07:57:46",34,
"Fat Free Percent","2026-04-24 07:57:46",66,
MUSCLE_PERCENT,"2026-04-24 07:57:46",63,
BONE_PERCENT,"2026-04-24 07:57:46",3,
WATER_PERCENT,"2026-04-24 07:57:46",44,
FAT_FREE_MASS,"2026-04-03 11:34:23",44,
"Visceral Fat","2026-04-03 11:34:23",2.1,
"Impedence 50kHz for segments","2026-04-03 11:34:23",688.0,,"Between Legs"
"Impedence 250kHz for segments","2026-04-03 11:34:23",624.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-04-03 11:34:23",795.0,,"Between Legs"
"Phase  6.25kHz segment","2026-04-03 11:34:23",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-04-03 11:34:23",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-04-03 11:34:23",-0.1,,"Between Legs"
"BIA Error","2026-04-03 11:34:23",0,
"Basal Metabolic Rate (BMR)","2026-04-03 11:34:23","1,353",
"Metabolic Age","2026-04-03 11:34:23",28,
FAT_PERCENT,"2026-04-03 11:34:23",34,
"Fat Free Percent","2026-04-03 11:34:23",66,
MUSCLE_PERCENT,"2026-04-03 11:34:23",63,
BONE_PERCENT,"2026-04-03 11:34:23",3,
WATER_PERCENT,"2026-04-03 11:34:23",44,
FAT_FREE_MASS,"2026-03-22 14:02:23",44,
"Visceral Fat","2026-03-22 14:02:23",2.0,
"Impedence 50kHz for segments","2026-03-22 14:02:23",691.0,,"Between Legs"
"Impedence 250kHz for segments","2026-03-22 14:02:23",610.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-03-22 14:02:23",808.0,,"Between Legs"
"Phase  6.25kHz segment","2026-03-22 14:02:23",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-03-22 14:02:23",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-03-22 14:02:23",-0.1,,"Between Legs"
"BIA Error","2026-03-22 14:02:23",0,
"Basal Metabolic Rate (BMR)","2026-03-22 14:02:23","1,348",
"Metabolic Age","2026-03-22 14:02:23",28,
FAT_PERCENT,"2026-03-22 14:02:23",34,
"Fat Free Percent","2026-03-22 14:02:23",66,
MUSCLE_PERCENT,"2026-03-22 14:02:23",63,
BONE_PERCENT,"2026-03-22 14:02:23",3,
WATER_PERCENT,"2026-03-22 14:02:23",44,
FAT_FREE_MASS,"2026-02-20 11:58:14",44,
"Visceral Fat","2026-02-20 11:58:14",2.1,
"Impedence 50kHz for segments","2026-02-20 11:58:14",698.0,,"Between Legs"
"Impedence 250kHz for segments","2026-02-20 11:58:14",629.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-02-20 11:58:14",809.0,,"Between Legs"
"Phase  6.25kHz segment","2026-02-20 11:58:14",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-02-20 11:58:14",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-02-20 11:58:14",-0.1,,"Between Legs"
"BIA Error","2026-02-20 11:58:14",0,
"Basal Metabolic Rate (BMR)","2026-02-20 11:58:14","1,348",
"Metabolic Age","2026-02-20 11:58:14",28,
FAT_PERCENT,"2026-02-20 11:58:14",34,
"Fat Free Percent","2026-02-20 11:58:14",66,
MUSCLE_PERCENT,"2026-02-20 11:58:14",63,
BONE_PERCENT,"2026-02-20 11:58:14",3,
WATER_PERCENT,"2026-02-20 11:58:14",44,
FAT_FREE_MASS,"2026-01-19 09:57:07",45,
"Visceral Fat","2026-01-19 09:57:07",2.1,
"Impedence 50kHz for segments","2026-01-19 09:57:07",667.0,,"Between Legs"
"Impedence 250kHz for segments","2026-01-19 09:57:07",585.0,,"Between Legs"
"Impedence 6.25kHz for segments","2026-01-19 09:57:07",789.0,,"Between Legs"
"Phase  6.25kHz segment","2026-01-19 09:57:07",-0.1,,"Between Legs"
"Phase  50kHz segment","2026-01-19 09:57:07",-0.1,,"Between Legs"
"Phase  250kHz segment","2026-01-19 09:57:07",-0.1,,"Between Legs"
"BIA Error","2026-01-19 09:57:07",0,
"Basal Metabolic Rate (BMR)","2026-01-19 09:57:07","1,366",
"Metabolic Age","2026-01-19 09:57:07",28,
FAT_PERCENT,"2026-01-19 09:57:07",34,
"Fat Free Percent","2026-01-19 09:57:07",66,
