from,to,"from (manual)","to (manual)",Timezone,"Activity type",Data,GPS,Modified
2025-03-19T15:51:00-07:00,2025-03-19T16:04:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":14.280000686646,""effduration"":660,""intensity"":0,""pause_duration"":0,""steps"":736,""distance"":494.53002929688,""metcumul"":31.790000915527}",,2025-04-18T11:01:06-07:00
2025-03-24T15:12:00-07:00,2025-03-24T15:19:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":13.020168304443,""effduration"":405,""intensity"":0,""pause_duration"":0,""steps"":722,""distance"":446.4089050293,""metcumul"":2.9840397834778}",,2025-04-18T11:01:06-07:00
2025-03-27T14:21:00-07:00,2025-03-27T14:31:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":12.749667167664,""effduration"":555,""intensity"":0,""pause_duration"":0,""steps"":707,""distance"":437.1344909668,""metcumul"":3.5895800590515}",,2025-04-18T11:01:07-07:00
2025-04-05T11:21:00-07:00,2025-04-05T11:32:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":25.609998703003,""effduration"":660,""intensity"":0,""pause_duration"":0,""steps"":1181,""distance"":867.01000976562,""metcumul"":46.720001220703}",,2025-04-18T11:01:07-07:00
2025-04-05T13:41:00-07:00,2025-04-05T13:58:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":26.650001525879,""effduration"":960,""intensity"":0,""pause_duration"":0,""steps"":1317,""distance"":882.02008056641,""metcumul"":54.390007019043}",,2025-04-18T11:01:08-07:00
2025-04-05T16:36:00-07:00,2025-04-05T16:53:00-07:00,,,America/Los_Angeles,Cycling,"{""calories"":143.22567749023,""effduration"":540,""intensity"":0,""pause_duration"":0,""steps"":32,""distance"":24.070001602173,""metcumul"":9.8600006103516}",,2025-04-18T11:01:08-07:00
2025-04-06T19:03:00-07:00,2025-04-06T19:16:00-07:00,,,America/Los_Angeles,Cycling,"{""calories"":109.52552032471,""effduration"":540,""intensity"":0,""pause_duration"":0,""steps"":13,""distance"":9.2200002670288,""metcumul"":9.3099994659424}",,2025-04-18T11:01:09-07:00
2025-04-08T12:12:00-07:00,2025-04-08T12:22:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":14.39999961853,""effduration"":540,""intensity"":0,""pause_duration"":0,""steps"":732,""distance"":498.08999633789,""metcumul"":30.170001983643}",,2025-04-18T11:01:09-07:00
2025-04-08T12:59:00-07:00,2025-04-08T13:06:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":8.5799999237061,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":440,""distance"":297.41998291016,""metcumul"":18.510000228882}",,2025-04-18T11:01:09-07:00
2025-04-08T14:21:00-07:00,2025-04-08T14:28:00-07:00,,,America/Los_Angeles,Walking,"{""calories"":9.8400001525879,""effduration"":360,""intensity"":0,""pause_duration"":0,""steps"":503,""distance"":340.03997802734,""metcumul"":20.329999923706}",,2025-04-18T11:01:10-07:00
